Year,S&P 500,TBills,Treasuries,Corporates,Gold
1968,0.10814862651601535,0.053376,0.032746196950768365,0.04845146224309746,0.1924388857305288
1969,-0.08241371076449064,0.06668467741935484,-0.050140493209926106,-0.02025164250792147,-0.1606674612634088
1970,0.03561144905496419,0.06391,0.16754737183412338,0.05649567656988873,0.06163021868787277
1971,0.14221150298426474,0.0433425702811245,0.09786896619712297,0.1400146617421994,0.1669341894060994
1972,0.18755362915074925,0.0406184,0.02818449050444969,0.11409093579389698,0.48326455754241193
1973,-0.14308047437526472,0.07035443548387096,0.036586646024150085,0.043180404854323576,0.7349304482225656
1974,-0.2590178575089697,0.07845783132530121,0.019886086932378574,-0.04380719797719167,0.6703786191536749
1975,0.36995137106184356,0.05786385542168675,0.03605253602603384,0.11049964074144952,-0.252
1976,0.23830999002106662,0.049766000000000005,0.1598456074290921,0.19752813987098014,-0.04064171122994642
1977,-0.06979704075935232,0.05260963855421687,0.012899606071070449,0.09954662852090639,0.23076923076923062
1978,0.0650928391167193,0.07178306451612904,-0.007775806907508648,0.03137584977169086,0.3556763285024156
1979,0.18519490167516386,0.10054274193548388,0.006707203124723546,-0.020091101436615355,1.3340757238307348
1980,0.3173524550676301,0.1139188,-0.02989744251999403,-0.033156783371910456,0.125
1981,-0.04702390247495576,0.14036184738955823,0.08199215335892354,0.08462399480891206,-0.3214588634435963
1982,0.20419055079559353,0.10603413654618475,0.32814549486295586,0.2905245565590866,0.1200000000000001
1983,0.22337155858930619,0.0861764,0.032002094451429264,0.16194289622798366,-0.1484375
1984,0.0614614199963621,0.09540281124497993,0.13733364344102345,0.15619207332454216,-0.19003931847968547
1985,0.3123514948576895,0.07471129032258064,0.2571248821260641,0.23862641849916477,0.058252427184465994
1986,0.18494578758046187,0.059692800000000004,0.24284215141767618,0.21485515309759495,0.19541284403669712
1987,0.05812721641821871,0.0577736,-0.04960508937926228,0.02289846084276681,0.24456382706574575
1988,0.16537192812044688,0.0666844,0.08223595843484167,0.1511507006712003,-0.1569373072970196
1989,0.31475183638196724,0.08111560000000001,0.17693647159446219,0.15789666531437313,-0.022308911373887574
1990,-0.03064451612903212,0.0749648,0.06235375333553336,0.06140062886081704,-0.02493765586034913
1991,0.3023484313487976,0.053756000000000005,0.15004510019517303,0.17853487146763175,-0.0961636828644502
1992,0.07493727972380064,0.03431314741035857,0.09361637316207942,0.12172255869896652,-0.058007923033389974
1993,0.0996705147919488,0.029971199999999996,0.14210957589263107,0.16431517219561104,0.17347551817362583
1994,0.013259206774573897,0.04252248995983936,-0.08036655550998592,-0.013192033475710699,-0.020862664789453422
1995,0.3719519890260631,0.054896,0.23480780112538907,0.2015621817064022,0.01098039215686275
1996,0.2268096601886579,0.05005396825396826,0.01428607793401844,0.0479259941944115,-0.04434962503232476
1997,0.33103653103653097,0.0506208,0.09939130272977531,0.11834887244426365,-0.2174265999188203
1998,0.28337953278443584,0.047759600000000006,0.14921431922606215,0.07945456132707081,-0.006051175656984764
1999,0.20885350992084475,0.04638406374501992,-0.08254214796268576,0.008431634754821865,0.01182814402504806
2000,-0.09031818955249278,0.05819800796812749,0.16655267125397488,0.09329685521037204,-0.06257521058965121
2001,-0.11849759142000185,0.03399354838709678,0.055721811892492555,0.07819150754287824,0.01412066752246477
2002,-0.219660479579127,0.0160532,0.15116400378109285,0.12177867693975485,0.23960216998191686
2003,0.2835580005001023,0.0100836,0.003753185881775853,0.1353201209685757,0.2173595915390225
2004,0.10742775944096193,0.0137464,0.04490683702274547,0.09888628408721839,0.049730377471539855
2005,0.048344775232688535,0.0314916,0.028675329597779506,0.0491753798716953,0.17123287671232879
2006,0.15612557979315703,0.0473,0.019610012417568386,0.07048397662889147,0.2391812865497076
2007,0.054847352464217694,0.04361952191235059,0.10209921930012807,0.031503861528055586,0.315872266792512
2008,-0.3655234411179819,0.013713147410358567,0.20101279926977011,-0.05065714628748874,0.034070531978481755
2009,0.2593523387766398,0.0015052,-0.11116695313259162,0.23329502491661896,0.2763005780346821
2010,0.14821092278719414,0.001384462151394422,0.08462933880355772,0.08347842365906613,0.2774003623188406
2011,0.0209837473362805,0.0005283999999999999,0.16035334999461354,0.125845144013723,0.11646871122141467
2012,0.15890585241730293,0.0008759999999999999,0.02971571978018946,0.10124677875843502,0.056843442362654706
2013,0.32145085858125483,0.0005708,-0.09104568794347262,-0.010559012069494618,-0.27794471153846156
2014,0.13524421649462237,0.0003272,0.10746180452004755,0.10384907822030469,-0.0018726591760299671
2015,0.013788916411676138,0.0005203187250996015,0.012842996709792224,-0.006975183679032486,-0.11423806545757764
2016,0.11773080874798171,0.0031612000000000003,0.006905504698747792,0.10365105821793222,0.09117439397505289
2017,0.2160548143449928,0.0093412,0.028017162707789457,0.09723901946248836,0.11854024674316288
2018,-0.04226869289088544,0.01936305220883534,-0.00016692385713402633,-0.027626282217172247,-0.011453914384882302
2019,0.31211679996808755,0.0206248,0.09635630741548393,0.15329457562368487,0.18831194163773257
2020,0.18023201827422478,0.003547410358565737,0.1133189764661412,0.10411537157111345,0.2416940249507551
2021,0.2846885175196416,0.000450199203187251,-0.04416034448604475,0.009334445719875278,-0.037544286394162185
2022,-0.18008971545346592,0.02024779116465863,-0.1782817153825067,-0.14488298214231426,-0.004258007801769104
